,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa,natural_key
253,2008,23,101,11341428.19,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,11341451.19
254,2009,23,119,13760618.76,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,13760641.76
255,2010,23,119,16340775.46,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,16340798.46
256,2003,23,52,5510544.74,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,5510567.74
257,2011,23,168,16523774.47,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,16523797.47
258,2012,23,125,13880272.54,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,13880295.54
259,2013,23,131,10902055.09,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,10902078.09
260,2005,33,1319,198598718.2,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,198598751.2
261,2009,33,1371,278573489.63,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,278573522.63
262,2010,33,1885,270918973.531,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,270919006.531
263,2003,33,1082,114527695.1,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,114527728.1
264,2004,33,1181,120210957.909,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,120210990.909
265,2006,33,1485,207813166.38,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,207813199.38
266,2007,33,1451,226644756.413,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,226644789.413
267,2008,33,1546,231060035.75,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757,231060068.75
